Indicator,Countryname,Year,Zone,Area En,Area Sp,Countrycode,Countryname Sp,Date,Indicator Sp,Series,Upi,Circa,count,Country,Number of Records,Rate
Rate 90/10,Argentina (urban),2007,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,9999,1,32,1,9.980237810
Rate 75/25,Argentina (urban),2007,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,9999,1,32,1,3.428705868
"Generalized entropy, GE(-1)",Argentina (urban),2007,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,32,1,0.715370154
"Mean log deviation, GE(0)",Argentina (urban),2007,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,32,1,0.402044908
"Theil index, GE(1)",Argentina (urban),2007,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,32,1,0.400729809
"Generalized entropy, GE(2)",Argentina (urban),2007,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,32,1,0.781859317
"Atkinson, A(0.5)",Argentina (urban),2007,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,32,1,0.179412958
"Atkinson, A(1)",Argentina (urban),2007,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,32,1,0.331049296
"Atkinson, A(2)",Argentina (urban),2007,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,32,1,0.588602700
Gini coefficient (no zero income),Argentina (urban),2007,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,32,1,0.464317844
Gini coefficient,Argentina (urban),2008,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Coeficiente Gini,1,WB569452,2008,1,32,1,0.452990302
Rate 90/10,Argentina (urban),2008,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 90/10,1,WB569452,2008,1,32,1,9.962677001
Rate 75/25,Argentina (urban),2008,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,Razon 75/25,1,WB569452,2008,1,32,1,3.293001747
"Generalized entropy, GE(-1)",Argentina (urban),2008,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,2008,1,32,1,0.721417440
"Mean log deviation, GE(0)",Argentina (urban),2008,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Mean log deviation, GE(0)",1,WB569452,2008,1,32,1,0.385053272
"Theil index, GE(1)",Argentina (urban),2008,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de Theil, GE(1)",1,WB569452,2008,1,32,1,0.369521420
"Generalized entropy, GE(2)",Argentina (urban),2008,National,National,Nacional,ARG,Argentina (urbano),05 August 2020,"Indice de entropia, GE(2)",1,WB569452,2008,1,32,1,0.662297919
