Indicator,Countryname,Year,Zone,Area En,Area Sp,Countrycode,Countryname Sp,Date,Indicator Sp,Series,Upi,Circa,count,Country,Number of Records,Rate
"Atkinson, A(0.5)",Guatemala,2014,National,National,Nacional,GTM,Guatemala,05 August 2020,"Atkinson, A(0.5)",1,WB569452,2018,1,320,1,0.198748048
"Atkinson, A(1)",Guatemala,2014,National,National,Nacional,GTM,Guatemala,05 August 2020,"Atkinson, A(1)",1,WB569452,2018,1,320,1,0.336065100
"Atkinson, A(2)",Guatemala,2014,National,National,Nacional,GTM,Guatemala,05 August 2020,"Atkinson, A(2)",1,WB569452,2018,1,320,1,0.576837701
Gini coefficient (no zero income),Guatemala,2014,National,National,Nacional,GTM,Guatemala,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,2018,1,320,1,0.482553866
Gini coefficient,Honduras,2001,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.555757609
Rate 90/10,Honduras,2001,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,17.002451741
Rate 75/25,Honduras,2001,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,4.561826570
"Generalized entropy, GE(-1)",Honduras,2001,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,1.292883732
"Mean log deviation, GE(0)",Honduras,2001,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.600167576
"Theil index, GE(1)",Honduras,2001,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.586901245
"Generalized entropy, GE(2)",Honduras,2001,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,1.156767530
"Atkinson, A(0.5)",Honduras,2001,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.255601475
"Atkinson, A(1)",Honduras,2001,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.451280324
"Atkinson, A(2)",Honduras,2001,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.721119674
Gini coefficient (no zero income),Honduras,2001,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.555311943
Gini coefficient,Honduras,2002,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.557309580
Rate 90/10,Honduras,2002,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,15.389581650
Rate 75/25,Honduras,2002,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,4.160708007
"Generalized entropy, GE(-1)",Honduras,2002,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,1.308946947
"Mean log deviation, GE(0)",Honduras,2002,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.595047102
"Theil index, GE(1)",Honduras,2002,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.609258935
"Generalized entropy, GE(2)",Honduras,2002,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,1.334161804
"Atkinson, A(0.5)",Honduras,2002,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.257959416
"Atkinson, A(1)",Honduras,2002,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.448463413
"Atkinson, A(2)",Honduras,2002,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.723596095
Gini coefficient (no zero income),Honduras,2002,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.556230843
Gini coefficient,Honduras,2003,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.581212507
Rate 90/10,Honduras,2003,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,17.675571229
Rate 75/25,Honduras,2003,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,4.507026204
"Generalized entropy, GE(-1)",Honduras,2003,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,1.409790840
"Mean log deviation, GE(0)",Honduras,2003,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.647828480
"Theil index, GE(1)",Honduras,2003,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.668848546
"Generalized entropy, GE(2)",Honduras,2003,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,1.579912595
"Atkinson, A(0.5)",Honduras,2003,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.278932967
"Atkinson, A(1)",Honduras,2003,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.476819358
"Atkinson, A(2)",Honduras,2003,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.738191225
Gini coefficient (no zero income),Honduras,2003,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.578732384
Gini coefficient,Honduras,2004,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.581339135
Rate 90/10,Honduras,2004,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,17.815700746
Rate 75/25,Honduras,2004,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,4.478618763
"Generalized entropy, GE(-1)",Honduras,2004,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,1.445040964
"Mean log deviation, GE(0)",Honduras,2004,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.650694077
"Theil index, GE(1)",Honduras,2004,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.683455507
"Generalized entropy, GE(2)",Honduras,2004,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,1.943266953
"Atkinson, A(0.5)",Honduras,2004,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.280549932
"Atkinson, A(1)",Honduras,2004,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.478316438
"Atkinson, A(2)",Honduras,2004,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.742936005
Gini coefficient (no zero income),Honduras,2004,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.578971135
Gini coefficient,Honduras,2005,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.595115911
Rate 90/10,Honduras,2005,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,22.971862547
Rate 75/25,Honduras,2005,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,4.784448180
"Generalized entropy, GE(-1)",Honduras,2005,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,2.080399203
"Mean log deviation, GE(0)",Honduras,2005,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.721767594
"Theil index, GE(1)",Honduras,2005,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.707805119
"Generalized entropy, GE(2)",Honduras,2005,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,2.083590451
"Atkinson, A(0.5)",Honduras,2005,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.296946148
"Atkinson, A(1)",Honduras,2005,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.514107364
"Atkinson, A(2)",Honduras,2005,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.806231532
Gini coefficient (no zero income),Honduras,2005,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.594571417
Gini coefficient,Honduras,2006,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.575427779
Rate 90/10,Honduras,2006,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,20.258460884
Rate 75/25,Honduras,2006,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,4.518888061
"Generalized entropy, GE(-1)",Honduras,2006,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,1.677641854
"Mean log deviation, GE(0)",Honduras,2006,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.667101232
"Theil index, GE(1)",Honduras,2006,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.669064743
"Generalized entropy, GE(2)",Honduras,2006,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,2.058155757
"Atkinson, A(0.5)",Honduras,2006,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.279439679
"Atkinson, A(1)",Honduras,2006,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.486805946
"Atkinson, A(2)",Honduras,2006,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.770393833
Gini coefficient (no zero income),Honduras,2006,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.575103363
Gini coefficient,Honduras,2007,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.558203073
Rate 90/10,Honduras,2007,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,15.082639167
Rate 75/25,Honduras,2007,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,4.016015340
"Generalized entropy, GE(-1)",Honduras,2007,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,1.085072708
"Mean log deviation, GE(0)",Honduras,2007,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.583896429
"Theil index, GE(1)",Honduras,2007,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.616182606
"Generalized entropy, GE(2)",Honduras,2007,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,1.418346482
"Atkinson, A(0.5)",Honduras,2007,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.257889892
"Atkinson, A(1)",Honduras,2007,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.442278993
"Atkinson, A(2)",Honduras,2007,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.684557057
Gini coefficient (no zero income),Honduras,2007,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.557847599
Gini coefficient,Honduras,2008,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,2008,1,340,1,0.554999070
Rate 90/10,Honduras,2008,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,2008,1,340,1,14.546723439
Rate 75/25,Honduras,2008,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,2008,1,340,1,3.982147745
"Generalized entropy, GE(-1)",Honduras,2008,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,2008,1,340,1,1.232118589
"Mean log deviation, GE(0)",Honduras,2008,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,2008,1,340,1,0.588962024
"Theil index, GE(1)",Honduras,2008,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,2008,1,340,1,0.660297829
"Generalized entropy, GE(2)",Honduras,2008,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,2008,1,340,1,2.695823526
"Atkinson, A(0.5)",Honduras,2008,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,2008,1,340,1,0.261644763
"Atkinson, A(1)",Honduras,2008,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,2008,1,340,1,0.445097038
"Atkinson, A(2)",Honduras,2008,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,2008,1,340,1,0.711336162
Gini coefficient (no zero income),Honduras,2008,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,2008,1,340,1,0.554459587
Gini coefficient,Honduras,2009,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.512833228
Rate 90/10,Honduras,2009,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,12.527156468
Rate 75/25,Honduras,2009,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,3.733795796
"Generalized entropy, GE(-1)",Honduras,2009,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,0.848042451
"Mean log deviation, GE(0)",Honduras,2009,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.487836532
"Theil index, GE(1)",Honduras,2009,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.498763070
"Generalized entropy, GE(2)",Honduras,2009,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,1.016617276
"Atkinson, A(0.5)",Honduras,2009,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.217174094
"Atkinson, A(1)",Honduras,2009,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.386046773
"Atkinson, A(2)",Honduras,2009,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.629091799
Gini coefficient (no zero income),Honduras,2009,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.512702205
Gini coefficient,Honduras,2010,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.530870659
Rate 90/10,Honduras,2010,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,13.312015955
Rate 75/25,Honduras,2010,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,3.887949546
"Generalized entropy, GE(-1)",Honduras,2010,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,0.911825728
"Mean log deviation, GE(0)",Honduras,2010,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.522763729
"Theil index, GE(1)",Honduras,2010,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.537154692
"Generalized entropy, GE(2)",Honduras,2010,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,1.023889602
"Atkinson, A(0.5)",Honduras,2010,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.232113095
"Atkinson, A(1)",Honduras,2010,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.407120277
"Atkinson, A(2)",Honduras,2010,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.645848641
Gini coefficient (no zero income),Honduras,2010,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.530763069
Gini coefficient,Honduras,2011,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.562256930
Rate 90/10,Honduras,2011,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,14.565899671
Rate 75/25,Honduras,2011,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,3.820754851
"Generalized entropy, GE(-1)",Honduras,2011,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,1.381498119
"Mean log deviation, GE(0)",Honduras,2011,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.605367196
"Theil index, GE(1)",Honduras,2011,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.695038939
"Generalized entropy, GE(2)",Honduras,2011,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,2.992497170
"Atkinson, A(0.5)",Honduras,2011,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.270109619
"Atkinson, A(1)",Honduras,2011,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.454126053
"Atkinson, A(2)",Honduras,2011,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.734254318
Gini coefficient (no zero income),Honduras,2011,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.562013789
Gini coefficient,Honduras,2012,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.561197069
Rate 90/10,Honduras,2012,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,14.125595120
Rate 75/25,Honduras,2012,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,3.809980484
"Generalized entropy, GE(-1)",Honduras,2012,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,1.197940794
"Mean log deviation, GE(0)",Honduras,2012,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.598906493
"Theil index, GE(1)",Honduras,2012,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.702140397
"Generalized entropy, GE(2)",Honduras,2012,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,2.629688155
"Atkinson, A(0.5)",Honduras,2012,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.270396126
"Atkinson, A(1)",Honduras,2012,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.450587907
"Atkinson, A(2)",Honduras,2012,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.705525657
Gini coefficient (no zero income),Honduras,2012,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.561053209
Gini coefficient,Honduras,2013,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,2013,1,340,1,0.525753208
Rate 90/10,Honduras,2013,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,2013,1,340,1,12.424956016
Rate 75/25,Honduras,2013,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,2013,1,340,1,3.627014161
"Generalized entropy, GE(-1)",Honduras,2013,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,2013,1,340,1,0.927311851
"Mean log deviation, GE(0)",Honduras,2013,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,2013,1,340,1,0.514932656
"Theil index, GE(1)",Honduras,2013,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,2013,1,340,1,0.561170439
"Generalized entropy, GE(2)",Honduras,2013,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,2013,1,340,1,1.512981251
"Atkinson, A(0.5)",Honduras,2013,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,2013,1,340,1,0.232229326
"Atkinson, A(1)",Honduras,2013,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,2013,1,340,1,0.402459166
"Atkinson, A(2)",Honduras,2013,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,2013,1,340,1,0.649691131
Gini coefficient (no zero income),Honduras,2013,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,2013,1,340,1,0.525562856
Gini coefficient,Honduras,2014,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.504146944
Rate 90/10,Honduras,2014,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,11.150116528
Rate 75/25,Honduras,2014,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,3.532178266
"Generalized entropy, GE(-1)",Honduras,2014,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,0.735894285
"Mean log deviation, GE(0)",Honduras,2014,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.458867043
"Theil index, GE(1)",Honduras,2014,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.470568883
"Generalized entropy, GE(2)",Honduras,2014,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,0.818691261
"Atkinson, A(0.5)",Honduras,2014,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.207100353
"Atkinson, A(1)",Honduras,2014,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.368000732
"Atkinson, A(2)",Honduras,2014,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.595434653
Gini coefficient (no zero income),Honduras,2014,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.503412286
Gini coefficient,Honduras,2015,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.495815105
Rate 90/10,Honduras,2015,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,11.225781049
Rate 75/25,Honduras,2015,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,3.583306960
"Generalized entropy, GE(-1)",Honduras,2015,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,0.745125471
"Mean log deviation, GE(0)",Honduras,2015,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.448497307
"Theil index, GE(1)",Honduras,2015,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.446080291
"Generalized entropy, GE(2)",Honduras,2015,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(2)",1,WB569452,9999,1,340,1,0.707783279
"Atkinson, A(0.5)",Honduras,2015,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(0.5)",1,WB569452,9999,1,340,1,0.200286938
"Atkinson, A(1)",Honduras,2015,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(1)",1,WB569452,9999,1,340,1,0.361412969
"Atkinson, A(2)",Honduras,2015,National,National,Nacional,HND,Honduras,05 August 2020,"Atkinson, A(2)",1,WB569452,9999,1,340,1,0.598434044
Gini coefficient (no zero income),Honduras,2015,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini (ingreso mayor a zero),1,WB569452,9999,1,340,1,0.495589401
Gini coefficient,Honduras,2016,National,National,Nacional,HND,Honduras,05 August 2020,Coeficiente Gini,1,WB569452,9999,1,340,1,0.510686142
Rate 90/10,Honduras,2016,National,National,Nacional,HND,Honduras,05 August 2020,Razon 90/10,1,WB569452,9999,1,340,1,14.127500027
Rate 75/25,Honduras,2016,National,National,Nacional,HND,Honduras,05 August 2020,Razon 75/25,1,WB569452,9999,1,340,1,3.818574286
"Generalized entropy, GE(-1)",Honduras,2016,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de entropia, GE(-1)",1,WB569452,9999,1,340,1,0.954571667
"Mean log deviation, GE(0)",Honduras,2016,National,National,Nacional,HND,Honduras,05 August 2020,"Mean log deviation, GE(0)",1,WB569452,9999,1,340,1,0.497699855
"Theil index, GE(1)",Honduras,2016,National,National,Nacional,HND,Honduras,05 August 2020,"Indice de Theil, GE(1)",1,WB569452,9999,1,340,1,0.474621870
